link,title,category,abstract,keywords,authors
https://doi.org/10.1145/3593013.3594118,Fairness Auditing in Urban Decisions using LP-based Data Combination,Transparency & Explainability,"Auditing for fairness often requires relying on a secondary source, e.g., Census data, to inform about protected attributes. To avoid making assumptions about an overarching model that ties such information to the primary data source, a recent line of work has suggested finding the entire range of possible fairness valuations consistent with both sources. Though attractive, the current form of this methodology relies on rigid analytical expressions and lacks the ability to handle continuous decisions, e.g., metrics of urban services. We show that, in such settings, directly adapting these expressions can lead to loose and even vacuous results, particularly on just how fair the audited decisions may be. If used, the audit would be perceived more optimistically than it ought to be. We propose a linear programming formulation to handle continuous decisions, by finding the empirical fairness range when statistical parity is measured through the Kolmogorov-Smirnov distance. The size of this problem is linear in the number of data points and efficiently solvable. We analyze this approach and give finite-sample guarantees to the resulting fairness valuation. We then apply it to synthetic data and to 311 Chicago City Services data, and demonstrate its ability to reveal small but detectable bounds on fairness.","['data combination', 'fairness auditing', 'urban data', 'disparate impact', 'proxy variables', 'linear programming']","{'Jingyi Yang': 'Electrical and Computer Engineering, University of Illinois Chicago, USA', 'Joel Miller': 'Computer Science, University of Illinois Chicago, USA', 'Mesrob Ohannessian': 'Electrical and Computer Engineering, University of Illinois Chicago, USA'}"
https://doi.org/10.1145/3593013.3594010,Rethinking Transparency as a Communicative Constellation,Transparency & Explainability,"In this paper we make the case for an expanded understanding of transparency. Within the now extensive FAccT literature, transparency has largely been understood in terms of explainability. While this approach has proven helpful in many contexts, it falls short of addressing some of the more fundamental issues in the development and application of machine learning, such as the epistemic limitations of predictions and the political nature of the selection of fairness criteria. In order to render machine learning systems more democratic, we argue, a broader understanding of transparency is needed. We therefore propose to view transparency as a communicative constellation that is a precondition for meaningful democratic deliberation. We discuss four perspective expansions implied by this approach and present a case study illustrating the interplay of heterogeneous actors involved in producing this constellation. Drawing from our conceptualization of transparency, we sketch implications for actor groups in different sectors of society.","['transparency', 'explainability', 'science communication', 'deliberation', 'prediction']","{'Florian Eyert': 'WZB Berlin Social Science Center, Germany and Weizenbaum Institute, Germany', 'Paola Lopez': 'University of Vienna, Austria and Weizenbaum Institute, Germany'}"
https://doi.org/10.1145/3593013.3593991,Algorithmic Transparency from the South: Examining the state of algorithmic transparency in Chile's public administration algorithms,Transparency & Explainability,"This paper presents the results and conclusions of the study on algorithmic transparency in public Administration and the use of automated decision systems within the State of Chile, carried out by the Public Innovation Laboratory of the Universidad Adolfo Ibáñez in alliance with the Chilean Transparency Council. In the first part we delimit the concept of algorithmic transparency, and the different considerations that can derive from this concept. We detail the information gathering procedure carried out on the use of automated decision systems in the public administration and evaluate its status according to a defined transparency framework. It then examines the state of administrative regulation and access to public information in Chile and how algorithmic transparency could be included within the current legal norms in Chile. The results of this study show that there is a use of automated decision systems in critical operations in the Chilean public Administration and that the current legal framework enables the implementation of an algorithmic transparency standard for the public administration, in a flexible, scaled way and with criteria that allow citizens to evaluate their interaction with these systems. Building on the results of this research, in 2022 the Transparency Council piloted a draft algorithmic transparency standard with seven algorithms from four public agencies. A public consultation and the publication of the final standard is expected in 2023.","['Computers and Society', 'Public Policy issues', 'decision-support', 'public Administration', 'Computing in government', 'Algorithmic Transparency', 'Public Administration', 'Chile']","{'José Pablo Lapostol Piderit': 'Universidad Adolfo Ibañez, Chile', 'Romina Garrido Iglesias': 'Universidad Adolfo Ibañez, Chile', 'María Paz Hermosilla Cornejo': 'Universidad Adolfo Ibañez, Chile'}"
https://doi.org/10.1145/3593013.3594064,Co-Design Perspectives on Algorithm Transparency Reporting: Guidelines and Prototypes,Transparency & Explainability,"Recommendation algorithms by and large determine what people see on social media. Users know little about how these algorithms work or what information they use to make their recommendations. But what exactly should platforms share with users about recommendation algorithms that would be meaningful to them? Research has looked into frameworks for explainability of algorithms as well as design features across social media platforms that can contribute to their transparency and accountability. We build on these prior efforts to explore what a recommendation algorithm transparency report may include and how it should present information to users. Through a human-centered co-design research process we result in: (1) A set of guidelines for recommendation algorithm transparency reports; (2) initial suggestions, in the form of prototypes, for more engaging and interactive forms of transparency; (3) an evaluation of these prototypes’ strengths and weaknesses, and areas of exploration for future work.",[],"{'Michal Luria': 'Center for Democracy & Technology, USA'}"
https://doi.org/10.1145/3593013.3594093,Co-Designing for Transparency: Lessons from Building a Document Organization Tool in the Criminal Justice Domain,Transparency & Explainability,"Investigative journalists and public defenders conduct the essential work of examining, reporting, and arguing critical cases around police use-of-force and misconduct. In an ideal world, they would have access to well-organized records they can easily navigate and search. In reality, records can come as large, disorganized data dumps, increasing the burden on the already resource-constrained teams. In a cross-disciplinary research team of stakeholders and computer scientists, we worked closely with public defenders and investigative journalists in the United States to co-design an AI-augmented tool that addresses challenges in working with such data dumps. Our Document Organization Tool (DOT) is a Python library that has data cleaning, extraction, and organization features. Our collaborative design process gave us insights into the needs of under-resourced teams who work with large data dumps, such as how some domain experts became self-taught programmers to automate their tasks. To understand what type of programming paradigm could support our target users, we conducted a user study (n=18) comparing visual, programming-by-example, and traditional text-based programming tools. From our user study, we found that once users passed the initial learning stage, they could comfortably use all three paradigms. Our work offers insights for designers working with under-resourced teams who want to consolidate cutting-edge algorithms and AI techniques into unified, expressive tools. We argue user-centered tool design can contribute to the broader fight for accountability and transparency by supporting existing practitioners in their work in domains like criminal justice.","['Co-Design', 'Document Organization', 'User-Centered Design', 'Collaborative Design']","{'Hellina Hailu Nigatu': 'EECS, UC Berkeley, USA', 'Lisa Pickoff-White': 'KQED, USA', 'John Canny': 'EECS, UC Berkeley, USA', 'Sarah Chasins': 'EECS, UC Berkeley, USA'}"
https://doi.org/10.1145/3593013.3594003,Simplicity Bias Leads to Amplified Performance Disparities,Fairness & Bias,"Which parts of a dataset will a given model find difficult? Recent work has shown that SGD-trained models have a bias towards simplicity, leading them to prioritize learning a majority class, or to rely upon harmful spurious correlations. Here, we show that the preference for ‘easy’ runs far deeper: A model may prioritize any class or group of the dataset that it finds simple—at the expense of what it finds complex—as measured by performance difference on the test set. When subsets with different levels of complexity align with demographic groups, we term this difficulty disparity, a phenomenon that occurs even with balanced datasets that lack group/label associations. We show how difficulty disparity is a model-dependent quantity, and is further amplified in commonly-used models as selected by typical average performance scores. We quantify an amplification factor across a range of settings in order to compare disparity of different models on a fixed dataset. Finally, we present two real-world examples of difficulty amplification in action, resulting in worse-than-expected performance disparities between groups even when using a balanced dataset. The existence of such disparities in balanced datasets demonstrates that merely balancing sample sizes of groups is not sufficient to ensure unbiased performance. We hope this work presents a step towards measurable understanding of the role of model bias as it interacts with the structure of data, and call for additional model-dependent mitigation methods to be deployed alongside dataset audits.","['neural networks', 'simplicity bias', 'performance disparities', 'fairness']","{'Samuel James Bell': 'FAIR, Meta AI, France', 'Levent Sagun': 'FAIR, Meta AI, France'}"
https://doi.org/10.1145/3593013.3594094,Examining risks of racial biases in NLP tools for child protective services,Fairness & Bias,"Although much literature has established the presence of demographic bias in natural language processing (NLP) models, most work relies on curated bias metrics that may not be reflective of real-world applications. At the same time, practitioners are increasingly using algorithmic tools in high-stakes settings, with particular recent interest in NLP. In this work, we focus on one such setting: child protective services (CPS). CPS workers often write copious free-form text notes about families they are working with, and CPS agencies are actively seeking to deploy NLP models to leverage these data. Given well-established racial bias in this setting, we investigate possible ways deployed NLP is liable to increase racial disparities. We specifically examine word statistics within notes and algorithmic fairness in risk prediction, coreference resolution, and named entity recognition (NER). We document consistent algorithmic unfairness in NER models, possible algorithmic unfairness in coreference resolution models, and little evidence of exacerbated racial bias in risk prediction. While there is existing pronounced criticism of risk prediction, our results expose previously undocumented risks of racial bias in realistic information extraction systems, highlighting potential concerns in deploying them, even though they may appear more benign. Our work serves as a rare realistic examination of NLP algorithmic fairness in a potential deployed setting and a timely investigation of a specific risk associated with deploying NLP in CPS settings.","['NLP', 'bias', 'race', 'child protection system', 'CPS', 'text processing']","{'Anjalie Field': 'Computer Science Department, Johns Hopkins University, USA and Language Technologies Institute, Carnegie Mellon University, USA', 'Amanda Coston': 'Heinz College of Information Systems and Public Policy and Machine Learning Department, Carnegie Mellon University, USA', 'Nupoor Gandhi': 'Heinz College of Information Systems and Public Policy and Machine Learning Department, Carnegie Mellon University, USA', 'Alexandra Chouldechova': 'Microsoft Research NYC, USA and Heinz College of Information Systems and Public Policy, Carnegie Mellon University, USA', 'Emily Putnam-Hornstein': 'School of Social Work, University of North Carolina at Chapel Hill, USA', 'David Steier': 'Heinz College of Information Systems and Public Policy, Carnegie Mellon University, USA', 'Yulia Tsvetkov': 'Paul G. Allen School of Computer Science & Engineering, University of Washington, USA'}"
https://doi.org/10.1145/3593013.3594083,An Empirical Analysis of Racial Categories in the Algorithmic Fairness Literature,Fairness & Bias,"Recent work in algorithmic fairness has highlighted the challenge of defining racial categories for the purposes of anti-discrimination. These challenges are not new but have previously fallen to the state, which enacts race through government statistics, policies, and evidentiary standards in anti-discrimination law. Drawing on the history of state race-making, we examine how longstanding questions about the nature of race and discrimination appear within the algorithmic fairness literature. Through a content analysis of 60 papers published at FAccT between 2018 and 2020, we analyze how race is conceptualized and formalized in algorithmic fairness frameworks. We note that differing notions of race are adopted inconsistently, at times even within a single analysis. We also explore the institutional influences and values associated with these choices. While we find that categories used in algorithmic fairness work often echo legal frameworks, we demonstrate that values from academic computer science play an equally important role in the construction of racial categories. Finally, we examine the reasoning behind different operationalizations of race, finding that few papers explicitly describe their choices and even fewer justify them. We argue that the construction of racial categories is a value-laden process with significant social and political consequences for the project of algorithmic fairness. The widespread lack of justification around the operationalization of race reflects institutional norms that allow these political decisions to remain obscured within the backstage of knowledge production.","['racial categories', 'algorithmic fairness', 'state race-making']","{'Amina A. Abdu': 'University of Michigan, USA', 'Irene V. Pasquetto': 'University of Michigan, USA', 'Abigail Z. Jacobs': 'University of Michigan, USA'}"
https://doi.org/10.1145/3593013.3594047,Datafication Genealogies beyond Algorithmic Fairness: Making Up Racialised Subjects,Fairness & Bias,"A growing scholarship has discussed how datafication is grounded on algorithmic discrimination. However, these debates only marginally address how racialised classification or race categories are enforced through quantification and neglect its political and historical conceptualisation. In this work, we argue that literature partially fails to show that datafication reinforces racial profiling beyond the creation of racial categories as features. This article casts a new light on datafication by retracing its genealogy focusing on identification procedures in the colony and at the border. Such a genealogy foregrounds how datafication enforces racialised profiles by showing that it is part of a longer historical trajectory of modes of racialising individuals beyond algorithms and racial categories. Building on archival material, it develops this argument through two case studies. First, it focuses on the study of datafication of colonised bodies through biometrics by Francis Galton during the 19th-century. Second, it takes into account police identification procedures about unauthorised migrants, enforced by the French police at the Italian border in the 20th-century. These two cases show that although race categories as variables have been historically used to translate individuals into data, datafication processes as such also produce racialised profiles. A genealogical approach highlights continuities as well as quantitative and qualitative shifts between analogue and digital datafication. The article concludes arguing that datafication mechanisms have historically enforced legal and political measures by states in the name of science and objectivity and debates around algorithmic fairness should bring this key aspect back to the core of their critiques.","['datafication', 'genealogies', 'racialised subjects', 'classification', 'borders']","{'Ana Valdivia': 'Oxford Internet Institute, University of Oxford, United Kingdom', 'Martina Tazzioli': 'Politics and International Relations, Goldsmiths, University of London, United Kingdom'}"
https://doi.org/10.1145/3593013.3594096,"What's fair is� fair? Presenting JustEFAB, an ethical framework for operationalizing medical ethics and social justice in the integration of clinical machine learning: JustEFAB",Fairness & Bias,"The problem of algorithmic bias represents an ethical threat to the fair treatment of patients when their care involves machine learning (ML) models informing clinical decision-making. The design, development, testing, and integration of ML models therefore require a lifecycle approach to bias identification and mitigation efforts. Presently, most work focuses on the ML tool alone, neglecting the larger sociotechnical context in which these models operate. Moreover, the narrow focus on technical definitions of fairness must be integrated within the larger context of medical ethics in order to facilitate equitable care with ML. Drawing from principles of medical ethics, research ethics, feminist philosophy of science, and justice-based theories, we describe the Justice, Equity, Fairness, and Anti-Bias (JustEFAB) guideline intended to support the design, testing, validation, and clinical evaluation of ML models with respect to algorithmic fairness. This paper describes JustEFAB's development and vetting through multiple advisory groups and the lifecycle approach to addressing fairness in clinical ML tools. We present an ethical decision-making framework to support design and development, adjudication between ethical values as design choices, silent trial evaluation, and prospective clinical evaluation guided by medical ethics and social justice principles. We provide some preliminary considerations for oversight and safety to support ongoing attention to fairness issues. We envision this guideline as useful to many stakeholders, including ML developers, healthcare decision-makers, research ethics committees, regulators, and other parties who have interest in the fair and judicious use of clinical ML tools.","['Social and professional topics', 'Computing/technology policy', 'Medical information policy', 'Medical technologies', 'algorithmic bias', 'fairness', 'clinical machine learning', 'ethics', 'organizational ethics', 'justice', 'accountability', 'healthcare', 'health policy', 'safe deployment']","{'Melissa Mccradden': 'The Hospital for Sick Children, Canada', 'Oluwadara Odusi': 'The University of Sheffield Medical School, United Kingdom', 'Shalmali Joshi': 'Columbia University, USA', 'Ismail Akrout': 'The Hospital for Sick Children, Canada', 'Kagiso Ndlovu': 'University of Botswana, Botswana', 'Ben Glocker': 'Imperial College London, United Kingdom', 'Gabriel Maicas': 'Australian Institute for Machine Learning, Australia', 'Xiaoxuan Liu': 'University of Birmingham, United Kingdom', 'Mjaye Mazwi': 'The Hospital for Sick Children, Canada', 'Tee Garnett': 'The Hospital for Sick Children, Canada', 'Lauren Oakden-Rayner': 'Australian Institute for Machine Learning, Australia', 'Myrtede Alfred': 'University of Toronto, Canada', 'Irvine Sihlahla': 'University of Cape Town, South Africa', 'Oswa Shafei': 'The Hospital for Sick Children, Canada', 'Anna Goldenberg': 'The Hospital for Sick Children, Canada'}"
https://doi.org/10.1145/3593013.3594035,On the Site of Predictive Justice,Fairness & Bias,"Optimism about our ability to enhance societal decision-making by leaning on Machine Learning (ML) for cheap, accurate predictions has palled in recent years, as these ‘cheap’ predictions have come at significant social cost, contributing to systematic harms suffered by already disadvantaged populations. But what precisely goes wrong when ML goes wrong? We argue that, as well as more obvious concerns about the downstream effects of ML-based decision-making, there can be moral grounds for the criticism of these predictions themselves. We introduce and defend a theory of predictive justice, according to which differential model performance for systematically disadvantaged groups can be grounds for moral criticism of the model, independently of its downstream effects. As well as helping resolve some urgent disputes around algorithmic fairness, this theory points the way to a novel dimension of epistemic ethics, related to the recently discussed category of doxastic wrong. The full version of this paper is available at http://mintresearch.org/pj.","['Philosophy', 'Algorithmic fairness', 'Predictive justice', 'Justice', 'Epistemic ethics']","{'Seth Lazar': 'Australian National University, Australia', 'Jake Stone': 'Australian National University, Australia'}"
